Version,1.0.0,1.1.0,1.2.0,1.3.0,1.4.0,1.5.1,1.6.0,1.7.0,1.8.0,1.9.0,1.10.3,1.11.0
clojure.lang.AFn,-6890626740025768458,-6890626740025768458,,,,,,,,,,
clojure.lang.AFunction,5641769450759498843,5641769450759498843,-2237154681592893264,4469383498184457675,4469383498184457675,4469383498184457675,4469383498184457675,4469383498184457675,4469383498184457675,4469383498184457675,4469383498184457675,4469383498184457675
clojure.lang.AMapEntry,-5007980429903443802,-5007980429903443802,-5007980429903443802,-5007980429903443802,-5007980429903443802,-5007980429903443802,-5007980429903443802,-5007980429903443802,-5007980429903443802,-5007980429903443802,-5007980429903443802,-5007980429903443802
clojure.lang.APersistentMap,-402872503361381369,-402872503361381369,7921415892740123219,7921415892740123219,270281984708184947,8648225932767613808,8648225932767613808,6736310834519110267,6736310834519110267,6736310834519110267,6736310834519110267,6736310834519110267
clojure.lang.APersistentSet,1418245457827595316,1418245457827595316,6362703812426528179,6362703812426528179,8788912656794754312,889908853183699706,889908853183699706,889908853183699706,889908853183699706,889908853183699706,889908853183699706,889908853183699706
clojure.lang.APersistentVector,862028809111363388,862028809111363388,-8825570295649373700,-8825570295649373700,359817679883841315,-2689426146225009349,4667575149454420891,4667575149454420891,4667575149454420891,4667575149454420891,4667575149454420891,4667575149454420891
clojure.lang.ASeq,,,9195374253892759666,5482767337237601477,6680877765603812058,4748650717905139299,4748650717905139299,4748650717905139299,4748650717905139299,4748650717905139299,4748650717905139299,4748650717905139299
clojure.lang.ATransientMap,,7768006545302644265,,,,,,,,,,
clojure.lang.ATransientSet,,-486900134824750313,,,,,,,,,,
clojure.lang.ArityException,,,,2265783180488869950,2265783180488869950,2265783180488869950,2265783180488869950,2265783180488869950,2265783180488869950,2265783180488869950,2265783180488869950,2265783180488869950
clojure.lang.ArrayChunk,,,-8302142882294545702,-8302142882294545702,-8302142882294545702,-8302142882294545702,-8302142882294545702,-8302142882294545702,-8302142882294545702,-8302142882294545702,-8302142882294545702,-8302142882294545702
clojure.lang.ArraySeq,,,6677477548467187740,5616094589712914231,5616094589712914231,5616094589712914231,-9069152683729302290,-9069152683729302290,-9069152683729302290,-9069152683729302290,-9069152683729302290,-776994708551233983
clojure.lang.ArrayStream,-2464897699502675681,-2464897699502675681,,,,,,,,,,
clojure.lang.BigInt,,,,1144947622600696604,1144947622600696604,-4562508541783644429,5097771279236135022,5097771279236135022,5097771279236135022,5097771279236135022,5097771279236135022,5097771279236135022
clojure.lang.ChunkedCons,,,2773920188566401743,2773920188566401743,2773920188566401743,2773920188566401743,2773920188566401743,2773920188566401743,2773920188566401743,2773920188566401743,2773920188566401743,2773920188566401743
clojure.lang.Cons,,,6682587018567831263,6682587018567831263,6682587018567831263,6682587018567831263,6682587018567831263,6682587018567831263,6682587018567831263,6682587018567831263,6682587018567831263,6682587018567831263
clojure.lang.Cycle,,,,,,,,4007270937279943908,4007270937279943908,4007270937279943908,4007270937279943908,4007270937279943908
clojure.lang.EnumerationSeq,,,5227192199685595994,5227192199685595994,5227192199685595994,5227192199685595994,5227192199685595994,5227192199685595994,5227192199685595994,5227192199685595994,5227192199685595994,5227192199685595994
clojure.lang.ExceptionInfo,,,,,5041198041968260040,-1073473305916521986,-1073473305916521986,-1073473305916521986,-1073473305916521986,-1073473305916521986,-1073473305916521986,-1073473305916521986
clojure.lang.FnLoaderThunk,,,,2194257205455463687,2194257205455463687,2194257205455463687,2194257205455463687,2194257205455463687,2194257205455463687,2194257205455463687,2194257205455463687,2194257205455463687
clojure.lang.Iterate,,,,,,,,-78221705247226450,-78221705247226450,-78221705247226450,-78221705247226450,-78221705247226450
clojure.lang.IteratorSeq,,,-2631916503522522760,-2631916503522522760,-2631916503522522760,-2631916503522522760,-2631916503522522760,-2631916503522522760,-2631916503522522760,-2631916503522522760,-2631916503522522760,-2631916503522522760
clojure.lang.IteratorStream,5292912027669225430,5292912027669225430,,,,,,,,,,
clojure.lang.Keyword,,-6055990533791331198,-4144285677639475126,4428477144991605920,682898993708995880,4121291061259229960,-6496198289950458564,-2105088845257724163,-2105088845257724163,-2105088845257724163,-2105088845257724163,2404715664513862299
clojure.lang.LazilyPersistentVector,-4958436417482901563,,,,,,,,,,,
clojure.lang.LazySeq,,,-1092841134617561038,4709877118405538678,7700080124382322592,7700080124382322592,7700080124382322592,7700080124382322592,7700080124382322592,7700080124382322592,7700080124382322592,7700080124382322592
clojure.lang.LongRange,,,,,,,,-6232810521305456497,-6232810521305456497,-6232810521305456497,-6232810521305456497,-6232810521305456497
clojure.lang.MapEntry,8002386811445693641,8002386811445693641,8002386811445693641,8002386811445693641,8002386811445693641,8002386811445693641,8002386811445693641,8002386811445693641,-3752414622414469244,-3752414622414469244,-3752414622414469244,-3752414622414469244
clojure.lang.Namespace,,,-3134444395801383865,-3134444395801383865,-3134444395801383865,-3134444395801383865,-3134444395801383865,-3134444395801383865,-3134444395801383865,-3134444395801383865,-3134444395801383865,-3134444395801383865
clojure.lang.Obj,,,802029099426284526,802029099426284526,802029099426284526,802029099426284526,802029099426284526,802029099426284526,802029099426284526,802029099426284526,802029099426284526,802029099426284526
clojure.lang.PersistentArrayMap,-4173670720358472320,-4571430627104550368,-4891264942736448122,-4891264942736448122,-3547570705455202943,-3447445526375260145,-3447445526375260145,-2143238389310892755,-2074065891090893601,-2074065891090893601,-2074065891090893601,-2074065891090893601
clojure.lang.PersistentHashMap,204235786072451337,-3593258791720979408,-1811007519581875348,-1811007519581875348,-4910351996940995816,12581984686193694,12581984686193694,5167771258408988045,-8682496769319143320,-8682496769319143320,-8682496769319143320,-8682496769319143320
clojure.lang.PersistentHashSet,5895098940227581720,6972292642275504613,6973890746204954938,6973890746204954938,6973890746204954938,6973890746204954938,6973890746204954938,6973890746204954938,6973890746204954938,6973890746204954938,6973890746204954938,6973890746204954938
clojure.lang.PersistentList,,,-8833289659955219995,-8833289659955219995,-8833289659955219995,-8833289659955219995,-8833289659955219995,-8833289659955219995,-8833289659955219995,-8833289659955219995,-8833289659955219995,-8833289659955219995
clojure.lang.PersistentQueue,,,4899727806562060010,-7848864643576120444,-7848864643576120444,8247184423915313132,8247184423915313132,8247184423915313132,8247184423915313132,8247184423915313132,8247184423915313132,8247184423915313132
clojure.lang.PersistentStructMap,3605015719078573736,3605015719078573736,-2701411408470234065,-2701411408470234065,-2701411408470234065,-2701411408470234065,-2701411408470234065,-2701411408470234065,-2701411408470234065,-2701411408470234065,-2701411408470234065,-2701411408470234065
clojure.lang.PersistentTreeMap,-580985675315386427,,,,,,,,,,,
clojure.lang.PersistentTreeSet,2466408104005160140,,,,,,,,,,,
clojure.lang.PersistentVector,-4665818825996611603,78364926506979115,-614361884032116951,-614361884032116951,-5790828800697791610,6855991364814966672,6855991364814966672,5236173787885465848,-7896022351281214157,-7896022351281214157,-7896022351281214157,-7896022351281214157
clojure.lang.Range,,,6046282451636249919,6046282451636249919,6046282451636249919,6046282451636249919,6046282451636249919,-71973733672395145,-71973733672395145,-71973733672395145,-71973733672395145,-71973733672395145
clojure.lang.Ratio,3395833356377210121,3395833356377210121,-576272795628662988,-576272795628662988,-576272795628662988,-576272795628662988,-576272795628662988,-576272795628662988,-576272795628662988,-576272795628662988,-576272795628662988,-576272795628662988
clojure.lang.Repeat,,,,,,,,-5140377547192202551,-5140377547192202551,-5140377547192202551,-5140377547192202551,-5140377547192202551
clojure.lang.RestFn,585295428863298811,585295428863298811,-4319097849151802009,-4319097849151802009,-4319097849151802009,-4319097849151802009,-4319097849151802009,-4319097849151802009,-4319097849151802009,-4319097849151802009,-4319097849151802009,-4319097849151802009
clojure.lang.StringSeq,,,7975525539139301753,7975525539139301753,7975525539139301753,7975525539139301753,7975525539139301753,7975525539139301753,7975525539139301753,7975525539139301753,7975525539139301753,7975525539139301753
clojure.lang.Symbol,-7660965042521109278,-7660965042521109278,1279185200956995058,1279185200956995058,-2848561199281220674,-4861345607800372029,4614140038585330319,1191039485148212259,1191039485148212259,1191039485148212259,1191039485148212259,1191039485148212259
clojure.lang.Var,,,,,,,,,,4349275118702115686,8368961370796295279,8368961370796295279
